cxixf,50,37,37,49,generous
bfxbp,9,50,49,31,geeks
ulyrw,7,34,46,8,generous
lhuia,33,27,23,49,generous
bbwux,32,22,9,35,generous
ydbrg,12,50,10,15,generous
nwntx,2,9,33,19,generous
dgxlu,4,32,30,3,generous
altxr,20,4,6,28,geeks
lyxgt,28,19,45,45,geeks
icfys,1,44,24,33,geeks
zvvfb,4,36,44,6,generous
cixvo,20,25,13,23,geeks
vvuwd,29,17,10,6,miser
nlghf,25,47,7,46,miser
vayvs,17,28,33,10,geeks
bfpsu,41,15,30,4,miser
qvprk,47,16,11,31,generous
khnbh,9,23,50,4,generous
ksoow,23,3,50,41,miser
pjkxw,4,1,26,29,generous
hjxtn,22,10,10,45,geeks
dzcpb,1,44,48,4,geeks
etssy,49,8,34,12,generous
kbywz,11,30,32,49,miser
ylpfm,24,30,38,35,miser
bfdlv,23,13,19,2,miser
wlgii,24,18,49,15,generous
bosos,24,50,18,26,generous
loxrs,47,35,8,33,generous
wrfdn,43,16,30,25,geeks
rxqzj,46,32,39,38,geeks
ygiij,10,3,14,44,miser
rzlgm,15,12,30,26,miser
ldfrd,34,22,27,46,geeks
nnwhu,2,25,4,20,miser
cwlww,47,37,34,44,generous
xwkcu,16,30,36,15,geeks
zhecq,41,50,30,22,geeks
vqtlk,49,8,37,31,geeks
ecgle,24,18,23,5,miser
ykawa,8,9,16,34,geeks
qunqz,14,16,20,42,generous
bpunc,47,43,15,50,generous
lvqzs,5,15,22,39,geeks
plmvk,2,3,24,33,geeks
bxqud,45,37,10,5,miser
icmbt,23,9,50,18,geeks
mabig,37,20,45,23,miser
tbtgz,32,6,18,18,geeks
lzxgo,14,17,42,50,miser
ukeat,20,14,25,5,geeks
frlwa,10,27,26,3,miser
svdax,8,47,25,14,generous
oerwl,11,3,33,29,miser
mgryk,25,8,8,31,geeks
vxfxg,29,27,37,17,generous
keips,37,36,38,15,miser
dgotz,4,35,39,26,miser
vqwfu,19,20,22,10,geeks
vqzdx,4,5,44,10,geeks
psbyo,25,4,19,21,miser
pdjnx,6,34,20,16,miser
vzwnj,48,47,4,16,miser
ewayd,8,42,43,28,generous
yyoba,28,31,44,46,miser
ifccd,49,34,33,5,generous
xntpb,7,33,7,1,generous
dxscj,7,40,26,10,generous
sfyrd,33,47,43,1,generous
